date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:02:53	91399/91399	---M--	200	added ('OK')	image/jpeg	etag:%2216507-5c751eef9ba87%22	https://art-template.ru/vcard4/assets/images/news/news-5.jpg	C:/My%20Web%20Sites/maybe%20this%20will%20work/art-template.ru/vcard4/assets/images/news/news-5.jpg	(from https://art-template.ru/vcard4/style-2/blog.html)
00:02:54	714033/714033	---MCZ	200	added ('OK')	application/javascript	etag:%22d29400c9bb16e6c99df0af367ffa6628%22	https://api.mapbox.com/mapbox-gl-js/v1.4.1/mapbox-gl.js	C:/My%20Web%20Sites/maybe%20this%20will%20work/api.mapbox.com/mapbox-gl-js/v1.4.1/mapbox-gl.js	(from https://art-template.ru/vcard4/style-2/contact.html)
00:02:54	32643/32643	---MCZ	200	added ('OK')	text/css	etag:%2293324584606cdac8adf4396bf3c8f9af%22	https://api.mapbox.com/mapbox-gl-js/v1.4.1/mapbox-gl.css	C:/My%20Web%20Sites/maybe%20this%20will%20work/api.mapbox.com/mapbox-gl-js/v1.4.1/mapbox-gl.css	(from https://art-template.ru/vcard4/style-2/contact.html)
00:02:55	936/936	---M-Z	200	added ('OK')	application/javascript	etag:%223a8-5c751ee813b55-gzip%22	https://art-template.ru/vcard4/assets/js/mapbox.init.js	C:/My%20Web%20Sites/maybe%20this%20will%20work/art-template.ru/vcard4/assets/js/mapbox.init.js	(from https://art-template.ru/vcard4/style-2/contact.html)
00:02:55	632/632	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2024%20Oct%202021%2021:02:55%20GMT	https://art-template.ru/vcard4/assets/styles/vendors/preloader.gif	C:/My%20Web%20Sites/maybe%20this%20will%20work/art-template.ru/vcard4/assets/styles/vendors/preloader.gif	(from https://art-template.ru/vcard4/assets/styles/vendors/default-skin.css)
00:02:55	10060/10060	---M--	200	added ('OK')	text/html	etag:%22274c-5c751ee442ea9%22	https://art-template.ru/vcard4/assets/icons/icomoon.ttf?tbz8yr	C:/My%20Web%20Sites/maybe%20this%20will%20work/art-template.ru/vcard4/assets/icons/icomoon8f82.html	(from https://art-template.ru/vcard4/assets/icons/style-custome-icons.css)
00:02:56	10136/10136	---M--	200	added ('OK')	text/html	etag:%222798-5c751ee44c700%22	https://art-template.ru/vcard4/assets/icons/icomoon.woff?tbz8yr	C:/My%20Web%20Sites/maybe%20this%20will%20work/art-template.ru/vcard4/assets/icons/icomoon8f82-2.html	(from https://art-template.ru/vcard4/assets/icons/style-custome-icons.css)
00:02:56	29910/29910	---M--	200	added ('OK')	image/svg+xml	etag:%2274d6-5c751ee420013%22	https://art-template.ru/vcard4/assets/icons/icomoon.svg?tbz8yr	C:/My%20Web%20Sites/maybe%20this%20will%20work/art-template.ru/vcard4/assets/icons/icomoon8f82.svg	(from https://art-template.ru/vcard4/assets/icons/style-custome-icons.css)
00:02:57	81588/81588	---M--	200	added ('OK')	text/html	etag:%2213eb4-5c751ee3dc60f%22	https://art-template.ru/vcard4/assets/icons/feather.woff?e51d5j	C:/My%20Web%20Sites/maybe%20this%20will%20work/art-template.ru/vcard4/assets/icons/feather6290.html	(from https://art-template.ru/vcard4/assets/icons/feather.css)
00:02:57	24956/24956	---M--	200	added ('OK')	text/html	etag:%22617c-5c751ee418ecb%22	https://art-template.ru/vcard4/assets/icons/feather.woff2?e51d5j	C:/My%20Web%20Sites/maybe%20this%20will%20work/art-template.ru/vcard4/assets/icons/feather6290-2.html	(from https://art-template.ru/vcard4/assets/icons/feather.css)
00:02:57	75299/75299	---M--	200	added ('OK')	image/jpeg	etag:%2212623-5c751ef0e5bb3%22	https://art-template.ru/vcard4/assets/images/projects/Moonboard-2.jpg	C:/My%20Web%20Sites/maybe%20this%20will%20work/art-template.ru/vcard4/assets/images/projects/Moonboard-2.jpg	(from https://art-template.ru/vcard4/style-2/single-project.html)
00:02:57	74375/74375	---M--	200	added ('OK')	image/jpeg	etag:%2212287-5c751ef0eb1a3%22	https://art-template.ru/vcard4/assets/images/projects/Moonboard-1.jpg	C:/My%20Web%20Sites/maybe%20this%20will%20work/art-template.ru/vcard4/assets/images/projects/Moonboard-1.jpg	(from https://art-template.ru/vcard4/style-2/single-project.html)
00:02:57	93243/93243	---M--	200	added ('OK')	image/jpeg	etag:%2216c3b-5c751ef1289ff%22	https://art-template.ru/vcard4/assets/images/projects/Moonboard-3.jpg	C:/My%20Web%20Sites/maybe%20this%20will%20work/art-template.ru/vcard4/assets/images/projects/Moonboard-3.jpg	(from https://art-template.ru/vcard4/style-2/single-project.html)
00:02:59	67800/67800	---M--	200	added ('OK')	image/jpeg	etag:%22108d8-5c751ef125b1f%22	https://art-template.ru/vcard4/assets/images/projects/Moonboard-4.jpg	C:/My%20Web%20Sites/maybe%20this%20will%20work/art-template.ru/vcard4/assets/images/projects/Moonboard-4.jpg	(from https://art-template.ru/vcard4/style-2/single-project.html)
00:02:59	120812/120812	---M--	200	added ('OK')	image/jpeg	etag:%221d7ec-5c751eef14680%22	https://art-template.ru/vcard4/assets/images/news/image_02.jpg	C:/My%20Web%20Sites/maybe%20this%20will%20work/art-template.ru/vcard4/assets/images/news/image_02.jpg	(from https://art-template.ru/vcard4/style-2/single-post.html)
00:02:59	49371/49371	---M--	200	added ('OK')	image/jpeg	etag:%22c0db-5c751eefddd1b%22	https://art-template.ru/vcard4/assets/images/news/news-add-2.jpg	C:/My%20Web%20Sites/maybe%20this%20will%20work/art-template.ru/vcard4/assets/images/news/news-add-2.jpg	(from https://art-template.ru/vcard4/style-2/single-post.html)
00:02:59	146501/146501	---M--	200	added ('OK')	image/jpeg	etag:%2223c45-5c751eefdf873%22	https://art-template.ru/vcard4/assets/images/news/news-add-1.jpg	C:/My%20Web%20Sites/maybe%20this%20will%20work/art-template.ru/vcard4/assets/images/news/news-add-1.jpg	(from https://art-template.ru/vcard4/style-2/single-post.html)
